category,id,osmium_filter,required_tags,desired_tags
cycling,bicycle_rental,nrw/amenity=bicycle_rental,"name,network,operator","ref,capacity"
cycling,bicycle_parking,nrw/amenity=bicycle_parking,"capacity,covered,access,operator,bicycle_parking,fee,surveillance","name,operator,rooms,beds,addr:housenumber,addr:street,phone"
cycling,bicycle_shop,nrw/shop=bicycle,"name,addr:housenumber,addr:street,phone,opening_hours",website
health,clinic,nrw/amenity=clinic,"name,addr:housenumber,addr:street,phone,opening_hours",
health,toilets,nrw/amenity=toilets,,
health,drinking_water,nrw/amenity=drinking_water,,
health,doctors,nrw/amenity=doctors,"name,addr:housenumber,addr:street,phone,opening_hours",
health,dentist,nrw/amenity=dentist,"name,addr:housenumber,addr:street,phone,opening_hours",
health,health_post,nrw/amenity=health_post,"name,addr:housenumber,addr:street,phone,opening_hours",
health,hospital,nrw/amenity=hospital,"name,addr:housenumber,addr:street,phone,opening_hours",
health,nursing_home,nrw/amenity=nursing_home,"name,addr:housenumber,addr:street,phone,opening_hours",
health,pharmacy,nrw/amenity=pharmacy,"name,addr:housenumber,addr:street,phone,opening_hours",
health,veterinary,nrw/amenity=veterinary,"name,addr:housenumber,addr:street,phone,opening_hours",
social,social_facility,nrw/amenity=social_facility,"name,addr:housenumber,addr:street,phone,opening_hours",
social,community_centre,nrw/amenity=community_centre,"name,addr:housenumber,addr:street,phone,opening_hours",
education,kindergarten,nrw/amenity=kindergarten,"name,addr:housenumber,addr:street,phone,opening_hours",
education,school,nrw/amenity=school,"name,addr:housenumber,addr:street,phone,opening_hours",
education,university,nrw/amenity=university,"name,addr:housenumber,addr:street,phone,opening_hours",
education,college,nrw/amenity=college,"name,addr:housenumber,addr:street,phone,opening_hours",
education,library,nrw/amenity=library,"name,addr:housenumber,addr:street,phone,opening_hours",
culture,arts_centre,nrw/amenity=arts_centre,"name,addr:housenumber,addr:street,phone,opening_hours",
culture,gallery,nrw/tourism=gallery,"name,addr:housenumber,addr:street,phone,opening_hours",
culture,monument,nrw/historic=monument,"name,addr:housenumber,addr:street",
culture,memorials,nrw/historic=memorial,"name,addr:housenumber,addr:street",
culture,heritage,nrw/heritage,"name,addr:housenumber,addr:street",
culture,cinema,nrw/amenity=cinema,"name,addr:housenumber,addr:street,phone,opening_hours",
government,government_office,nrw/office=government,"name,addr:housenumber,addr:street,phone,opening_hours",
environment,waterfall,nrw/waterway=waterfall,,
environment,tailings_pond,nrw/man_made=tailings_pond,,
environment,dam,nrw/waterway=dam,,
tourism,guest_house,nrw/tourism=guest_house,"name,addr:housenumber,addr:street,phone","name,operator,rooms,beds,addr:housenumber,addr:street,phone"
tourism,hotel,nrw/tourism=hotel,"name,addr:housenumber,addr:street,phone","name,operator,rooms,beds,addr:housenumber,addr:street,website,phone"
leisure,sport,nrw/sport,,